point_id,domain,point_type,cover_class,doy_band,snow_free_doy,x_utm,y_utm
285,CRBU,non_vegetated,bare,early,112.2772445678711,329743.5,4302593.5
286,CRBU,non_vegetated,bare,early,126.42724609375,332278.5,4303292.5
287,CRBU,non_vegetated,bare,early,117.33910369873047,333001.5,4303613.5
288,CRBU,non_vegetated,bare,early,117.88523864746094,329983.5,4304435.5
289,CRBU,non_vegetated,bare,early,120.59969329833984,329521.5,4305656.5
290,CRBU,non_vegetated,bare,early,106.74823760986328,335767.5,4297625.5
291,CRBU,non_vegetated,bare,early,114.7498550415039,335311.5,4303358.5
292,CRBU,non_vegetated,bare,early,122.35940551757812,329374.5,4302896.5
293,CRBU,non_vegetated,bare,early,126.06151580810547,326431.5,4314092.5
294,CRBU,non_vegetated,bare,early,124.97014617919922,327283.5,4303787.5
295,CRBU,non_vegetated,bare,early,126.55449676513672,332734.5,4304024.5
296,CRBU,non_vegetated,bare,early,116.1450424194336,336457.5,4306853.5
297,CRBU,non_vegetated,bare,early,119.16556549072266,331399.5,4300802.5
298,CRBU,non_vegetated,bare,early,115.24882507324219,331252.5,4302656.5
299,CRBU,non_vegetated,bare,early,116.23004913330078,330721.5,4301861.5
300,CRBU,non_vegetated,bare,early,114.86640167236328,331891.5,4304342.5
301,CRBU,non_vegetated,bare,early,128.6400909423828,328951.5,4303256.5
302,CRBU,non_vegetated,bare,early,102.05994415283203,336163.5,4298402.5
303,CRBU,non_vegetated,bare,early,105.89925384521484,336391.5,4299233.5
304,CRBU,non_vegetated,bare,early,125.98148345947266,329434.5,4301888.5
305,CRBU,non_vegetated,bare,early,114.81957244873047,331579.5,4300844.5
306,CRBU,non_vegetated,bare,early,129.77688598632812,320671.5,4298771.5
307,CRBU,non_vegetated,bare,early,114.15788269042969,331621.5,4300763.5
308,CRBU,non_vegetated,bare,early,121.5209732055664,330853.5,4305494.5
309,CRBU,non_vegetated,bare,early,119.83563995361328,333049.5,4303634.5
310,CRBU,non_vegetated,bare,early,117.65425109863281,331123.5,4302404.5
311,CRBU,non_vegetated,bare,early,120.93953704833984,331324.5,4300901.5
312,CRBU,non_vegetated,bare,early,113.47370910644531,331042.5,4301738.5
313,CRBU,non_vegetated,bare,early,98.3115463256836,337003.5,4297409.5
314,CRBU,non_vegetated,bare,early,117.8587417602539,332365.5,4302584.5
315,CRBU,non_vegetated,bare,early,101.47222137451172,336499.5,4303736.5
316,CRBU,non_vegetated,bare,early,120.1438217163086,335575.5,4299680.5
317,CRBU,non_vegetated,bare,early,122.49043273925781,331735.5,4308557.5
318,CRBU,non_vegetated,bare,early,105.64447784423828,330454.5,4304174.5
319,CRBU,non_vegetated,bare,early,122.02526092529297,336166.5,4304303.5
320,CRBU,non_vegetated,bare,early,121.64026641845703,331342.5,4300943.5
321,CRBU,non_vegetated,bare,early,118.5162582397461,331516.5,4300799.5
322,CRBU,non_vegetated,bare,early,106.6377944946289,329404.5,4306124.5
323,CRBU,non_vegetated,bare,early,123.18852996826172,319255.5,4325303.5
324,CRBU,non_vegetated,bare,early,99.5923843383789,335890.5,4298768.5
325,CRBU,non_vegetated,bare,early,129.5265350341797,328009.5,4299974.5
326,CRBU,non_vegetated,bare,early,105.26734161376953,336040.5,4298234.5
327,CRBU,non_vegetated,bare,early,122.21018981933594,331240.5,4305368.5
328,CRBU,non_vegetated,bare,early,125.8580093383789,332677.5,4303763.5
329,CRBU,non_vegetated,bare,early,122.59978485107422,334264.5,4311140.5
330,CRBU,non_vegetated,bare,early,105.94283294677734,335452.5,4297928.5
331,CRBU,non_vegetated,bare,early,120.96074676513672,331036.5,4305302.5
332,CRBU,non_vegetated,bare,early,116.26583862304688,334717.5,4297541.5
333,CRBU,non_vegetated,bare,early,127.20468139648438,336310.5,4302092.5
334,CRBU,non_vegetated,bare,early,109.56874084472656,331195.5,4301270.5
335,CRBU,non_vegetated,bare,early,116.23689270019531,332830.5,4303673.5
336,CRBU,non_vegetated,bare,early,124.1551284790039,336301.5,4302140.5
337,CRBU,non_vegetated,bare,early,124.4280014038086,319135.5,4325261.5
338,CRBU,non_vegetated,bare,early,122.51727294921875,331963.5,4301519.5
339,CRBU,non_vegetated,bare,early,122.32453155517578,319327.5,4325303.5
340,CRBU,non_vegetated,bare,early,108.35340118408203,334528.5,4298849.5
341,CRBU,non_vegetated,bare,early,114.06104278564453,332164.5,4304291.5
342,CRBU,non_vegetated,bare,early,109.9853286743164,333529.5,4299575.5
343,CRBU,non_vegetated,bare,early,129.8431854248047,331117.5,4305767.5
344,CRBU,non_vegetated,bare,early,106.05021667480469,335953.5,4298327.5
345,CRBU,non_vegetated,bare,early,122.48880004882812,332611.5,4304003.5
346,CRBU,non_vegetated,bare,early,112.76848602294922,335341.5,4303376.5
347,CRBU,non_vegetated,bare,early,109.6919174194336,332620.5,4299956.5
348,CRBU,non_vegetated,bare,early,120.81478881835938,334603.5,4304051.5
349,CRBU,non_vegetated,bare,early,116.36026000976562,331501.5,4300676.5
350,CRBU,non_vegetated,bare,early,121.58684539794922,328969.5,4304540.5
351,CRBU,non_vegetated,bare,early,126.45795440673828,332668.5,4303850.5
352,CRBU,non_vegetated,bare,early,116.40816497802734,334165.5,4297913.5
353,CRBU,non_vegetated,bare,early,121.05503845214844,330310.5,4303064.5
354,CRBU,non_vegetated,bare,early,120.12327575683594,336511.5,4306898.5
355,CRBU,non_vegetated,bare,early,116.71781158447266,334273.5,4303490.5
356,CRBU,non_vegetated,bare,early,117.57814025878906,330604.5,4301678.5
357,CRBU,non_vegetated,bare,early,119.36092376708984,332032.5,4304300.5
358,CRBU,non_vegetated,bare,early,112.46763610839844,332344.5,4304141.5
359,CRBU,non_vegetated,bare,early,127.30561828613281,329344.5,4303940.5
360,CRBU,non_vegetated,bare,early,123.2928695678711,329968.5,4303472.5
361,CRBU,non_vegetated,bare,early,115.61027526855469,329338.5,4307768.5
362,CRBU,non_vegetated,bare,early,116.95220184326172,330760.5,4303751.5
363,CRBU,non_vegetated,bare,early,112.79430389404297,328222.5,4304609.5
364,CRBU,non_vegetated,bare,early,119.43492126464844,330808.5,4302164.5
