a,b,short_a,short_b,n_a,n_b,dist,ratio,same_top1,same_parent,doy_a,doy_b,top1_a,top1_b
Osmorhiza occidentalis,S10.a,Sweet-cicely stand,Snowberry mesic meadow,8,30,0.1677751470951976,0.5646210592545902,FALSE,FALSE,140.2346534729004,133.76779301961264,NA,Danthonia intermedia - Solidago multiradiata Grassland
S01.a,S09.a,Montane mixed shrub-meadow,Lathyrus mesic meadow,53,19,0.26840289675693235,0.5679511353317989,FALSE,FALSE,122.99547317792783,148.69068266216078,Chrysothamnus viscidiflorus Shrub Grassland,Carex microptera Wet Meadow
S04.b,S12,Sagebrush-kinnikinnick matrix,Rocky sparse forb slope,43,25,0.1904337954537153,0.571538881013202,FALSE,FALSE,115.22257747206577,161.35852783203126,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S04.b,S20,Sagebrush-kinnikinnick matrix,Rocky buckwheat barren,43,13,0.20795544679452474,0.5717088705832997,FALSE,FALSE,115.22257747206577,133.669188279372,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Poa nervosa - Achnatherum lettermanii Grassland
Osmorhiza occidentalis,S01.a,Sweet-cicely stand,Montane mixed shrub-meadow,8,53,0.20530472415482656,0.5720935235382568,FALSE,FALSE,140.2346534729004,122.99547317792783,NA,Chrysothamnus viscidiflorus Shrub Grassland
S01.a,S12,Montane mixed shrub-meadow,Rocky sparse forb slope,53,25,0.1897168163240246,0.5732417400340505,FALSE,FALSE,122.99547317792783,161.35852783203126,Chrysothamnus viscidiflorus Shrub Grassland,Geum rossii - Sibbaldia procumbens Alpine Snowbed
Osmorhiza occidentalis,S11,Sweet-cicely stand,Wyethia swale meadow,8,30,0.1994266837047929,0.5836323290744655,FALSE,FALSE,140.2346534729004,126.35915756225586,NA,NA
S05.a,S19,Silver-sage sedge park,Dry montane grass park,24,25,0.2025261739293126,0.5887314807753772,FALSE,FALSE,126.13806215922038,122.09057525634766,Artemisia cana Montane Wet Shrubland Alliance,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S06.b,S18,Subalpine mixed meadow,Low sagebrush-rabbitbrush steppe,82,30,0.19964454669880163,0.5926892751076415,FALSE,FALSE,143.2728446402201,101.7091542561849,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S10.a,S12,Snowberry mesic meadow,Rocky sparse forb slope,30,25,0.15997648689187008,0.5941888553100609,FALSE,FALSE,133.76779301961264,161.35852783203126,Danthonia intermedia - Solidago multiradiata Grassland,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S10.a,S11,Snowberry mesic meadow,Wyethia swale meadow,30,30,0.18415382449377704,0.5947260640679989,FALSE,FALSE,133.76779301961264,126.35915756225586,Danthonia intermedia - Solidago multiradiata Grassland,NA
Osmorhiza occidentalis,S09.a,Sweet-cicely stand,Lathyrus mesic meadow,8,19,0.2640057114158344,0.5960625179198544,FALSE,FALSE,140.2346534729004,148.69068266216078,NA,Carex microptera Wet Meadow
S04.b,S18,Sagebrush-kinnikinnick matrix,Low sagebrush-rabbitbrush steppe,43,30,0.19446937134262632,0.5968490690640146,FALSE,FALSE,115.22257747206577,101.7091542561849,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S09.a,S19,Lathyrus mesic meadow,Dry montane grass park,19,25,0.27629603042109596,0.5978423014794458,FALSE,FALSE,148.69068266216078,122.09057525634766,Carex microptera Wet Meadow,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S05.a,S18,Silver-sage sedge park,Low sagebrush-rabbitbrush steppe,24,30,0.17327783169546013,0.5985714737081644,FALSE,FALSE,126.13806215922038,101.7091542561849,Artemisia cana Montane Wet Shrubland Alliance,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group
S02.a,S21,Montane forb-grass meadow,Brome disturbed meadow,47,14,0.20552078363319184,0.601642445378404,FALSE,FALSE,128.4723697418862,165.87781742640905,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
