point_id,point_type,doy_band,snow_free_doy,ndvi_18,ndvi_25,ndvi_diff,ndwi_18,ndwi_25,ndwi_diff,brightness_18,brightness_25,brightness_diff
76,non_vegetated,early,122.3470687866211,0.11810278014622522,0.166141910249242,0.048039130103016775,-0.031039719952417593,-0.062274578826743775,-0.03123485887432618,0.19360188781256563,0.23037096343673114,0.03676907562416551
77,non_vegetated,early,112.415771484375,0.11038880791477722,0.1105167181503479,1.2791023557068293e-4,-0.07727040743478662,-0.07872350040868976,-0.0014530929739031417,0.17757826152949302,0.20886961652172936,0.03129135499223634
79,non_vegetated,early,128.85101318359375,0.12330970765509178,0.17951098699348214,0.056201279338390364,-0.01662051303908993,-0.014554171193400661,0.002066341845689268,0.10173753151419562,0.07160318499017089,-0.030134346524024733
80,non_vegetated,early,119.51070404052734,0.12646359945677513,0.640141053122725,0.5136774536659499,-0.09255903612553201,-0.2394381166140212,-0.1468790804884892,0.20644545932436545,0.11202312510417048,-0.09442233422019497
83,non_vegetated,early,128.6629638671875,0.10380884105171036,0.13515845419914801,0.03134961314743766,-0.09951994954032027,-0.11171581877816297,-0.012195869237842702,0.3256901751005509,0.2575437672871944,-0.06814640781335651
84,non_vegetated,early,124.77053833007812,0.2366398676343913,0.19027228328778453,-0.04636758434660676,-0.14605150816762516,-0.11857591865917405,0.02747558950845111,0.27699524819938065,0.21043605694209627,-0.06655919125728438
85,non_vegetated,early,124.13297271728516,0.26218569416701826,0.1488090096222675,-0.11337668454475075,-0.14543882444441775,-0.09461652908991118,0.050822295354506566,0.3476733988096491,0.1863326421388757,-0.16134075667077338
86,non_vegetated,early,120.70914459228516,0.19692708923599633,0.22191013183647298,0.02498304260047665,-0.27503839487642945,-0.28270473234109206,-0.007666337464662609,0.21021274469400714,0.20740103481544392,-0.0028117098785632177
87,non_vegetated,early,120.17448425292967,0.16353446399316374,0.2053279927948843,0.041793528801720575,-0.24427511756195278,-0.2501390199046813,-0.005863902342728516,0.21653901567105308,0.2051525750290058,-0.011386440642047274
91,non_vegetated,early,123.21620178222656,0.22066334094337509,0.23964551359189046,0.018982172648515372,-0.26422454096116366,-0.26329420114763924,9.303398135244167e-4,0.23147601263477788,0.19834286018508912,-0.03313315244968876
92,non_vegetated,early,124.4859619140625,0.057127984887807404,0.11335064994560037,0.05622266505779297,-0.03091471275179241,-0.04842975245504623,-0.01751503970325382,0.1627222238271905,0.14057256728410727,-0.022149656543083235
93,non_vegetated,early,120.13697814941406,0.16832157229183486,0.20687655281407502,0.038554980522240156,-0.22135931318357296,-0.23137119897336242,-0.010011885789789454,0.2354203055520157,0.157322867862793,-0.0780974376892227
94,non_vegetated,early,120.79821014404295,0.14493895959759293,0.19196786048398387,0.047028900886390945,-0.0469824251630363,-0.06099811945753841,-0.014015694294502112,0.1730197701799242,0.17317885520775417,1.590850278299638e-4
