band,wavelength_nm,2018,2025,Both years
117,965,0.2667676852533417,0.26087604729548536,0.24846619645378143
118,970,0.26864659315338085,0.26509221361402574,0.25419390548112863
119,975,0.2822789778905721,0.27856443819154725,0.26965018197168383
120,980,0.2829543086155174,0.28226104238231053,0.2737548396648831
121,985,0.3254318066572918,0.3174734096835799,0.3125641158699591
122,990,0.3411493704360392,0.3260172923914922,0.32350644840850207
123,995,0.3557563686414904,0.33283279083818657,0.3320262734007477
124,1000,0.35072366503503377,0.3220897891747534,0.3221999448530275
125,1000,0.31589232350203006,0.28722148479465126,0.28737113638544876
126,1010,0.28524792133003274,0.2573769683348468,0.25756086687232604
127,1010,0.2534841477100909,0.22897532923870323,0.22886307806038242
128,1020,0.2368373697749681,0.21336158257425988,0.21329439311764767
129,1020,0.23478576942649598,0.20986902120579437,0.20999698974534947
130,1030,0.23832329648955886,0.2090705345446687,0.2104514129494962
131,1030,0.23638124747405787,0.20351764643002293,0.20664082137247564
132,1040,0.24484136795474903,0.2075165374430803,0.21216332011368255
133,1040,0.2568534876081389,0.21478722946518747,0.22143446234128578
134,1050,0.2622016374427559,0.21862854682279179,0.22691353212813228
135,1050,0.274494709698521,0.2278207248385611,0.23793898971332852
136,1060,0.2843853341284974,0.2362633929840235,0.2480486867701232
137,1060,0.2926033880000491,0.24369359380269875,0.2567971703763374
138,1070,0.3008319918406491,0.25049066473261883,0.2646266640500004
139,1070,0.30483914907888726,0.2552072949855979,0.27027368975992955
140,1080,0.3092256002480423,0.25962627546495815,0.27550715032372985
141,1080,0.30294705871307465,0.2562325515851765,0.2728393193222467
142,1090,0.2940187376065309,0.2502066464133593,0.26882622446019105
143,1090,0.2933264239037209,0.2514307218164824,0.27159301311904843
144,1100,0.3023633428967042,0.26268564600355354,0.2835979105515809
145,1110,0.32977083719327716,0.29370174550771944,0.3150526912552376
146,1110,0.4169150571424295,0.38603398065302474,0.4074556604989409
147,1120,0.650632040431342,0.6213317479186783,0.6426531385029982
148,1120,0.986429400173952,0.9316029639078293,0.955226925852564
149,1130,1.1061152365402618,1.0020961604198644,1.0303215277608608
150,1130,0.8403569023274471,0.7406435272339549,0.7612990970736576
151,1140,0.5422937500545784,0.4929081858138077,0.4998365746092951
152,1140,0.4032146914089015,0.38832365342051123,0.38646726598466535
153,1150,0.4114089753590221,0.4043282351689088,0.398502711775274
154,1150,0.37271905927012167,0.3663662811418201,0.36128816527346885
155,1160,0.2762193498163238,0.27991720831944816,0.2766328738939925
156,1160,0.20963348525654524,0.2205022408118558,0.21912489803632273
157,1170,0.17493479554902866,0.18629941979843562,0.1869784039956879
158,1170,0.16176495187948486,0.1713305622228102,0.17352560392092564
159,1180,0.1564466998613559,0.1646163030741359,0.16774372745266325
160,1180,0.15502384759167925,0.16273924337661086,0.16620473484550383
161,1190,0.15503879697901882,0.16362952958317328,0.1669602051917063
162,1190,0.15629839201013465,0.1648173362101701,0.16797307480117776
