site_number,Year,class_type,final_label,snow_free_doy,canopy_height_m
260,2018,meadow,S11,176.5577850341797,0
261,2018,meadow,S11,178.25392150878906,0
268,2018,meadow,S11,170.9374237060547,0
275,2018,meadow,S11,171.49232482910156,0
364,2018,meadow,S11,167.64479064941406,0
365,2018,meadow,S11,166.59632873535156,0
367,2018,meadow,S11,166.0017547607422,0
369,2018,meadow,S11,166.4913330078125,0
370,2018,meadow,S11,168.02239990234375,0
371,2018,meadow,S11,168.02239990234375,0
374,2018,meadow,S11,175.88623046875,0
378,2018,meadow,S11,178.1125030517578,0
379,2018,meadow,S11,177.4094696044922,0
381,2018,meadow,S11,175.71685791015625,0
383,2018,meadow,S11,177.20314025878906,0
1211,2025,meadow,S11,168.02239990234375,0
1223,2025,meadow,S11,170.61941528320312,0
271,2018,meadow,S12,172.14129638671875,0
1195,2025,meadow,S12,160.2539825439453,0
1198,2025,meadow,S12,164.51829528808594,0
1199,2025,meadow,S12,164.58050537109375,0
1200,2025,meadow,S12,163.9801025390625,0
1270,2025,meadow,S12,158.5372772216797,0
1271,2025,meadow,S12,158.65370178222656,0
1279,2025,meadow,S12,164.31227111816406,0
366,2018,meadow,S13,166.0017547607422,0
368,2018,meadow,S13,166.0017547607422,0
1202,2025,meadow,S13,160.08087158203125,0
1205,2025,meadow,S13,165.3570098876953,0
1206,2025,meadow,S13,166.67202758789062,0
1207,2025,meadow,S13,165.56875610351562,0
1208,2025,meadow,S13,164.85110473632812,0
1210,2025,meadow,S13,166.67202758789062,0.33399999141693115
1219,2025,meadow,S13,178.18783569335938,0
1220,2025,meadow,S13,178.18783569335938,0
1276,2025,meadow,S13,157.0463104248047,0
1282,2025,meadow,S13,166.45132446289062,0
2040,2026,meadow,S13,110.6374053955078,0
372,2018,meadow,S14,171.55186462402344,0
373,2018,meadow,S14,171.55186462402344,0
375,2018,meadow,S14,175.33877563476562,0
376,2018,meadow,S14,175.57835388183594,0
452,2018,meadow,S14,172.30775451660156,0
1149,2025,meadow,S14,142.2425079345703,0
1150,2025,meadow,S14,142.44674682617188,0
1212,2025,meadow,S14,173.25137329101562,0
1215,2025,meadow,S14,175.9464569091797,0
1216,2025,meadow,S14,178.09707641601562,0
1218,2025,meadow,S14,179.37533569335938,0
1222,2025,meadow,S14,175.6478271484375,0
1225,2025,meadow,S14,136.69888305664062,0
1227,2025,meadow,S14,136.6847381591797,0
1228,2025,meadow,S14,136.6847381591797,0
1229,2025,meadow,S14,138.47100830078125,0
1230,2025,meadow,S14,139.2755889892578,0
1231,2025,meadow,S14,138.7783660888672,0
1233,2025,meadow,S14,139.40626525878906,0
1234,2025,meadow,S14,139.40626525878906,0
1235,2025,meadow,S14,139.40626525878906,0
1236,2025,meadow,S14,142.31072998046875,0
1237,2025,meadow,S14,140.16061401367188,0.5019999742507935
1239,2025,meadow,S14,140.5418243408203,0
1265,2025,meadow,S14,160.4213104248047,0
1268,2025,meadow,S14,158.65370178222656,0
1321,2025,meadow,S14,138.42234802246094,0
1340,2025,meadow,S14,134.4171142578125,0
1341,2025,meadow,S14,137.79563903808594,0
1342,2025,meadow,S14,135.92466735839844,0.6290000081062317
1343,2025,meadow,S14,135.6128692626953,0
1346,2025,meadow,S14,133.839599609375,0
1347,2025,meadow,S14,136.86256408691406,0
1348,2025,meadow,S14,137.1570281982422,0
449,2018,meadow,S15,171.4057159423828,1.2589999437332153
1262,2025,meadow,S15,169.13504028320312,0
1263,2025,meadow,S15,169.49925231933594,0
1320,2025,meadow,S15,139.79833984375,0
1324,2025,meadow,S15,142.18910217285156,0
1325,2025,meadow,S15,141.5393524169922,0
1326,2025,meadow,S15,144.6378936767578,0
1327,2025,meadow,S15,144.6378936767578,0
1328,2025,meadow,S15,143.45921325683594,0
1329,2025,meadow,S15,143.45921325683594,0
1330,2025,meadow,S15,144.1901092529297,0
1331,2025,meadow,S15,144.1901092529297,1.0709999799728394
1332,2025,meadow,S15,144.1901092529297,0
1333,2025,meadow,S15,145.1276092529297,0
1334,2025,meadow,S15,145.1276092529297,0
1335,2025,meadow,S15,144.1901092529297,0
1336,2025,meadow,S15,145.1276092529297,0
1337,2025,meadow,S15,145.1276092529297,0
1338,2025,meadow,S15,145.1276092529297,0
1339,2025,meadow,S15,146.19422912597656,0
1354,2025,meadow,S15,138.15634155273438,0
453,2018,meadow,S16,170.93634033203125,0
1006,2025,meadow,S17,105.28115844726562,0
1008,2025,meadow,S17,101.82804870605467,0
1009,2025,meadow,S17,104.92637634277344,0
1012,2025,meadow,S17,106.1918487548828,0
1014,2025,meadow,S17,104.92637634277344,0
1015,2025,meadow,S17,109.31780242919922,0
1023,2025,meadow,S17,101.5124053955078,0
1024,2025,meadow,S17,104.92637634277344,0
1025,2025,meadow,S17,105.28499603271484,0
1026,2025,meadow,S17,105.28499603271484,0
1030,2025,meadow,S17,101.82202911376952,0
1031,2025,meadow,S17,107.04337310791016,0
1051,2025,meadow,S17,102.6991958618164,0
1066,2025,meadow,S17,92.51848602294922,0
1091,2025,meadow,S17,109.70475006103516,0
1092,2025,meadow,S17,108.82223510742188,0.1899999976158142
1093,2025,meadow,S17,109.65636444091795,0.27799999713897705
1095,2025,meadow,S17,108.4546127319336,0.3799999952316284
1096,2025,meadow,S17,110.04853057861328,0
1098,2025,meadow,S17,110.30743408203124,0
1105,2025,meadow,S17,108.88594818115234,0.2280000001192093
1106,2025,meadow,S17,108.88594818115234,0
1107,2025,meadow,S17,108.88594818115234,0
1108,2025,meadow,S17,105.45997619628906,0.47999998927116394
1109,2025,meadow,S17,105.45997619628906,1.5700000524520874
1110,2025,meadow,S17,105.45997619628906,0
1292,2025,meadow,S17,125.37413024902344,0
2002,2026,meadow,S17,82.79881286621094,0
2005,2026,meadow,S17,83.58930206298828,0
2025,2026,meadow,S17,106.3984603881836,0.11800000071525574
2026,2026,meadow,S17,109.50051879882812,0
2027,2026,meadow,S17,102.49085998535156,0
2041,2026,meadow,S17,109.42542266845705,0
2045,2026,meadow,S17,102.42431640625,0
2050,2026,meadow,S17,102.38349151611328,0
1007,2025,meadow,S18,101.257080078125,0
1010,2025,meadow,S18,100.54620361328124,0
1011,2025,meadow,S18,100.6163330078125,0
1016,2025,meadow,S18,101.82804870605467,0
1020,2025,meadow,S18,100.56729125976562,0
1021,2025,meadow,S18,99.90532684326172,0
1013,2025,meadow,S19,109.066650390625,0
1017,2025,meadow,S19,106.31128692626952,0
1018,2025,meadow,S19,106.31128692626952,0
1019,2025,meadow,S19,109.31780242919922,0
1022,2025,meadow,S19,109.066650390625,0
1027,2025,meadow,S19,110.40694427490234,0
1033,2025,meadow,S19,105.4364013671875,0
1034,2025,meadow,S19,107.64373779296876,0
1040,2025,meadow,S19,102.49591064453124,0
1041,2025,meadow,S19,95.18568420410156,0
1042,2025,meadow,S19,89.17572021484375,0
1043,2025,meadow,S19,89.17572021484375,0
1044,2025,meadow,S19,89.35911560058594,0
1045,2025,meadow,S19,89.35911560058594,0
1046,2025,meadow,S19,84.4015884399414,0
1047,2025,meadow,S19,89.588775634765625,0
1048,2025,meadow,S19,84.4015884399414,0
1052,2025,meadow,S19,102.6991958618164,0
1053,2025,meadow,S19,102.6991958618164,0
1054,2025,meadow,S19,102.15414428710938,0
1055,2025,meadow,S19,102.15414428710938,0
1057,2025,meadow,S19,101.31792449951172,0.3190000057220459
1058,2025,meadow,S19,101.31792449951172,0
1059,2025,meadow,S19,100.15560913085938,2.062000036239624
1060,2025,meadow,S19,100.15560913085938,0
1061,2025,meadow,S19,98.959259033203125,0
1063,2025,meadow,S19,97.93254089355467,0
1065,2025,meadow,S19,88.19129943847656,0
1067,2025,meadow,S19,94.333038330078125,0
1068,2025,meadow,S19,97.5337905883789,0
1069,2025,meadow,S19,97.66178131103516,0
1071,2025,meadow,S19,121.6103286743164,0
1073,2025,meadow,S19,121.6103286743164,0
1081,2025,meadow,S19,128.67843627929688,0
1085,2025,meadow,S19,131.872802734375,0
1088,2025,meadow,S19,125.79631805419922,0
1089,2025,meadow,S19,124.77403259277344,0
2015,2026,meadow,S19,98.61327362060548,0
2018,2026,meadow,S19,90.0656967163086,0
2042,2026,meadow,S19,112.6061553955078,0
2046,2026,meadow,S19,105.1910629272461,0
2047,2026,meadow,S19,109.31591796875,0
1028,2025,meadow,S20,112.13492584228516,0
1074,2025,meadow,S20,121.6103286743164,0
1077,2025,meadow,S20,117.59930419921876,0
1086,2025,meadow,S20,128.13461303710938,0
1287,2025,meadow,S20,125.1554183959961,0
1295,2025,meadow,S20,128.12327575683594,0
1297,2025,meadow,S20,131.13714599609375,1.6619999408721924
1298,2025,meadow,S20,130.64743041992188,0
1299,2025,meadow,S20,130.7139434814453,0
1300,2025,meadow,S20,132.45668029785156,0
1303,2025,meadow,S20,128.36883544921875,0
2019,2026,meadow,S20,90.38298797607422,0
1029,2025,meadow,S21,112.53655242919922,0
1032,2025,meadow,S21,108.3344497680664,2.549999952316284
1035,2025,meadow,S21,109.59383392333984,0
1036,2025,meadow,S21,110.85919952392578,0
1037,2025,meadow,S21,109.59383392333984,0
1038,2025,meadow,S21,109.5197525024414,0
1039,2025,meadow,S21,110.8295440673828,0
1049,2025,meadow,S21,108.53812408447266,0
1050,2025,meadow,S21,107.04337310791016,0
1301,2025,meadow,S21,137.90296936035156,0
1302,2025,meadow,S21,134.29428100585938,0
1304,2025,meadow,S21,132.55030822753906,0
1305,2025,meadow,S21,131.09632873535156,0
1306,2025,meadow,S21,129.0283660888672,0
1307,2025,meadow,S21,127.6531982421875,0.46799999475479126
1309,2025,meadow,S21,131.09632873535156,0
1311,2025,meadow,S21,129.52769470214844,0
1313,2025,meadow,S21,129.52769470214844,0
1314,2025,meadow,S21,130.1922607421875,0
1315,2025,meadow,S21,130.1922607421875,0
1316,2025,meadow,S21,129.1436309814453,0
1317,2025,meadow,S21,129.15625,0.20800000429153442
1318,2025,meadow,S21,128.7571258544922,0
2048,2026,meadow,S21,104.30240631103516,0
1111,2025,meadow,S22,133.82647705078125,0
1112,2025,meadow,S22,131.79124450683594,0
1113,2025,meadow,S22,133.3300018310547,0
1114,2025,meadow,S22,131.1419219970703,0
1115,2025,meadow,S22,131.1419219970703,0
