band_idx,wavelength_nm,center,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
21,484,0.007427283438021643,-0.01452429242581131,0.008550208246429524,0.05422841799488739,0.06889446655399867,0.011719335806083317,0.04073622317551253,0.08275387135863124,0.02008907514284414,-0.03250354637839638,0.06420288499286701,-0.025363348087865455,-0.05162021131016007,0.008605024351634962,0.02885930446758256,0.02940427059744133,-0.04377907994031577,0.0350962257191304,0.006791781804317968,-0.012320849141229162,-0.053307735470216
22,489,0.007521703640593192,-0.014695175245230584,0.008384922852137537,0.05468779507671578,0.06890739447181823,0.013455764248346947,0.03673011931799045,0.08218425121488737,0.01994183836622496,-0.029367556136584615,0.06420343801646844,-0.024915399596787617,-0.0479048308129696,0.009286712438830329,0.024987041013366657,0.026968178940571037,-0.0451402528195646,0.030474919250823962,0.007387230425143207,-0.0020245232861966223,-0.04198026331136656
23,494,0.007707101576112191,-0.014946016881935654,0.008249676062981348,0.05478950730076584,0.07023355144392333,0.015476603908114972,0.035283898172143745,0.08130204290985124,0.022480166608287385,-0.02413635237548181,0.06012329398564347,-0.018545989060072886,-0.044055204743935025,0.005787116420330618,0.024973589955397058,0.028346720881606384,-0.04400458707598625,0.020661672417022693,0.007907143189946645,-0.006657712679763339,-0.039323225008181306
24,499,0.007930624865260869,-0.015115902593759932,0.007959381217407132,0.055720085992604446,0.07142862841889672,0.018114355902466864,0.033293641227042974,0.07909726992399124,0.02041794891535491,-0.01980280325422009,0.056935618421099614,-0.017444848059898325,-0.04456319764591356,0.007480020485676621,0.02902664644422671,0.03467041377865007,-0.04103201924980868,0.008610264801101115,0.013626808800852298,0.0041976517560343984,-0.036811754242689454
25,504,0.008266798337638943,-0.015195888597638582,0.007789792407516717,0.05759874672143843,0.07228354841848554,0.020299967121819737,0.03275101270505475,0.07704595468756772,0.01898680463959252,-0.01939202475032028,0.05411356478477548,-0.014379440525260037,-0.04601235152783379,0.008855490259501704,0.03770292173278515,0.03700151484060165,-0.03857173539836642,-0.003067950265896033,0.01895696613383378,0.005374625725710132,-0.0357631943088344
26,509,0.008705479816124073,-0.015109628341836927,0.007457148110373807,0.0593542508130251,0.07435064043446331,0.022414137768435365,0.03361732505145457,0.07477340988216488,0.01446087389058407,-0.01633938107262333,0.04439386314533529,-0.010010047290136517,-0.04483670149169792,0.00885874734058997,0.03208507761271232,0.03713664381757089,-0.027616460772167624,-0.019094872097962068,0.029153151971908257,0.00811058898142898,-0.041828818069512885
27,514,0.00931642976991428,-0.014866548547928142,0.007182891545211266,0.062428232632387656,0.07523019536622683,0.023614324626122268,0.036422950486700106,0.07143815605410757,0.009826732316122263,-0.016951295020551295,0.03367199121127094,-0.01055340818237938,-0.051674623797971254,0.01063340611511645,0.03260877527874914,0.03334029515810285,-0.013675479450583448,-0.03262876260733366,0.03101338651662608,0.017955537567121,-0.030991793006533968
28,519,0.010130317592483727,-0.014303460972346655,0.0068577825519724805,0.06693756699555395,0.07516435553089858,0.023737561690399926,0.04004526422019363,0.06747375388987069,0.004060839022000614,-0.02027678173903755,0.025332625020182735,-0.012545402372980833,-0.0541943730652014,0.012775910980681572,0.033648975759765075,0.03129039581673518,0.005900122202824305,-0.059242349650514343,0.04939973656327379,0.015644076942919565,-0.038039066222024576
29,524,0.011066575280885352,-0.013552912840672294,0.006776946117841427,0.07139846496216955,0.07656050693232193,0.0232983293776217,0.04409684093278524,0.06319282650977669,-0.0039088719714719024,-0.021294395771857086,0.014369697069486943,-0.007289023057148908,-0.06337347085669605,0.02161415075359449,0.038582162629247414,0.032443334181327124,0.018431812920553223,-0.07364446621073613,0.05815571630853544,0.03154960989689592,-0.01086234333074404
30,529,0.011941200238439736,-0.012802715425003634,0.0069676129073362675,0.07623504861815278,0.07703950712641974,0.02284684613757953,0.04658311990158147,0.059061181069239625,-0.01210263011468456,-0.02322515615047383,0.008844255382953324,-0.00855678923114214,-0.06984493127478732,0.027959808720927272,0.04380213075437342,0.026078020539575104,0.031202906674699413,-0.09580847399609717,0.05632499264879659,0.04692965774564896,0.00832087313256669
31,534,0.01273011566471613,-0.012331239690239554,0.007474950052739147,0.08046613156155036,0.07871166380860459,0.023115731479016525,0.04742689485842175,0.053137163489680235,-0.01730925659027915,-0.02433283033310019,0.002758637993985815,-0.005775003947485065,-0.0720952659928743,0.03457272721018512,0.04515381116063331,0.021916277189085592,0.04822154371325548,-0.12172852843294135,0.06543650387441091,0.036584353232918435,0.0361815785968401
32,539,0.013313040269898968,-0.012180937024836708,0.007785798165744152,0.08284747764920183,0.07987784696370645,0.025105899748062592,0.04802782557365979,0.04855934225169628,-0.01970324144983028,-0.024330680610012857,-0.003196088372407317,-0.004614929165697215,-0.06971812204155636,0.03019979769163298,0.04197234312884971,0.022872219183462595,0.05983749816442944,-0.13642973635683375,0.06633905553907832,0.048145935315238544,0.031107812197953444
33,544,0.013828183663718244,-0.012217557775270359,0.008459541244359305,0.08585528051026983,0.08172567502226297,0.026894974936881314,0.04551019216842592,0.04563045868891176,-0.020296777424456916,-0.024309180972296993,-0.007306225594254185,-0.004952169427206622,-0.068881257944963,0.02936167815873102,0.04503675598642899,0.014643107080368645,0.07142522809174325,-0.14953580320973597,0.07009535792178168,0.0499714663736301,0.03856845098284043
34,549,0.014344722447952965,-0.012410710942420572,0.008966346042309637,0.08806062993650475,0.08328585495567026,0.030390949421421377,0.044835587833423986,0.04221273336296676,-0.020971821814750578,-0.025882073058127585,-0.007881499838603187,-6.427658311887826e-4,-0.07008848573654365,0.03125214376518712,0.04030007324443679,0.009705935403192818,0.09312184275243186,-0.16314962747798567,0.07373599504804967,0.05029218628093362,0.05844663482152257
