x_utm,y_utm,snow_free_doy,doy_band,domain,tile
343187.5,4286668.5,101.43379211425781,early,ALMO,ALMO_2025_mosaic_rfl_343000_4286000.nc
329850.5,4301869.5,122.46668243408203,early,CRBU,CRBU_2025_mosaic_rfl_329000_4301000.nc
362574.5,4310863.5,126.64830017089844,early,UPTA,UPTA_2025_mosaic_rfl_362000_4310000.nc
331370.5,4302359.5,116.14390563964844,early,CRBU,CRBU_2025_mosaic_rfl_331000_4302000.nc
347982.5,4282587.5,91.41719818115234,early,ALMO,ALMO_2025_mosaic_rfl_347000_4282000.nc
339898.5,4293509.5,101.72045135498047,early,ALMO,ALMO_2025_mosaic_rfl_339000_4293000.nc
348394.5,4278746.5,114.24280548095703,early,ALMO,ALMO_2025_mosaic_rfl_348000_4278000.nc
344652.5,4285359.5,101.04216766357422,early,ALMO,ALMO_2025_mosaic_rfl_344000_4285000.nc
340403.5,4280461.5,110.30252075195312,early,ALMO,ALMO_2025_mosaic_rfl_340000_4280000.nc
326679.5,4307899.5,121.72654724121094,early,CRBU,CRBU_2025_mosaic_rfl_326000_4307000.nc
333283.5,4302458.5,120.40757751464844,early,CRBU,CRBU_2025_mosaic_rfl_333000_4302000.nc
347922.5,4295791.5,115.53379821777344,early,ALMO,ALMO_2025_mosaic_rfl_347000_4295000.nc
345946.5,4282275.5,123.970458984375,early,ALMO,ALMO_2025_mosaic_rfl_345000_4282000.nc
327256.5,4307089.5,123.49441528320312,early,CRBU,CRBU_2025_mosaic_rfl_327000_4307000.nc
340409.5,4287581.5,101.59903717041016,early,ALMO,ALMO_2025_mosaic_rfl_340000_4287000.nc
331253.5,4311827.5,127.49777221679688,early,CRBU,CRBU_2025_mosaic_rfl_331000_4311000.nc
340586.5,4284071.5,100.03398895263672,early,ALMO,ALMO_2025_mosaic_rfl_340000_4284000.nc
348433.5,4279347.5,111.10112762451172,early,ALMO,ALMO_2025_mosaic_rfl_348000_4279000.nc
342763.5,4284188.5,105.39138793945312,early,ALMO,ALMO_2025_mosaic_rfl_342000_4284000.nc
342580.5,4287650.5,106.08729553222656,early,ALMO,ALMO_2025_mosaic_rfl_342000_4287000.nc
332424.5,4310365.5,126.19569396972656,early,CRBU,CRBU_2025_mosaic_rfl_332000_4310000.nc
335100.5,4309086.5,113.43637084960938,early,CRBU,CRBU_2025_mosaic_rfl_335000_4309000.nc
349679.5,4288875.5,110.43656921386719,early,ALMO,ALMO_2025_mosaic_rfl_349000_4288000.nc
328829.5,4305083.5,118.6780014038086,early,CRBU,CRBU_2025_mosaic_rfl_328000_4305000.nc
338913.5,4281356.5,109.32498931884766,early,ALMO,ALMO_2025_mosaic_rfl_338000_4281000.nc
343229.5,4278716.5,73.6933364868164,early,ALMO,ALMO_2025_mosaic_rfl_343000_4278000.nc
