band,wavelength_nm,importance,importance_pct,communality,sd_pct
131,1030,0.0013340563682785272,0.20983186899539666,0.03937256357969947,0.004044336769711536
132,1040,0.0013786722401769574,0.21684943737549994,0.04155302539680795,0.004219057425011336
133,1040,0.001444335333765898,0.22717749395497308,0.04419563844204419,0.004410971522157127
134,1050,0.0014838042923349536,0.23338551150263767,0.04625766523263644,0.0045391558425877075
135,1050,0.0015536833748078982,0.24437669510449883,0.049201510617882895,0.004816562800676021
136,1060,0.0016144471650202125,0.2539341470762974,0.05166136555350153,0.005094474300394747
137,1060,0.0016659058756933786,0.26202801604120274,0.05371270370733599,0.005368945781451883
138,1070,0.0017120395067910404,0.26928431065284497,0.05559264020904219,0.005718897746648634
139,1070,0.0017431983435608094,0.2741852407114151,0.05683872987847852,0.005923865254801475
140,1080,0.0017708397065551757,0.27853291221660975,0.05784240638169832,0.006155381150670232
141,1080,0.0017513804654559766,0.2754721952737823,0.056765738256654985,0.006327785324193542
142,1090,0.0017229948555674889,0.2710074622106948,0.054604638045944266,0.006558102148703095
143,1090,0.0017299715151417264,0.2721048112827553,0.053583212173343234,0.006722716184246814
144,1100,0.0017849572822773996,0.2807534460485504,0.05396254499733659,0.006739026066382168
145,1110,0.0019402236124058674,0.30517507096456037,0.05765935566108516,0.00678532073869693
146,1110,0.002412209193320155,0.3794130259243808,0.07180745757984869,0.007932724354041349
147,1120,0.003624793550560652,0.5701387314076389,0.10712574106938505,0.012764488055672318
148,1120,0.005242133660296999,0.824527905731001,0.14346280963214383,0.02014270342303602
149,1130,0.005662884864260044,0.8907072768647373,0.1407242536292925,0.022140531685243357
150,1130,0.004290326169484597,0.6748194305346312,0.10422414859177867,0.01612494276053023
151,1140,0.002884601724959683,0.4537149895972488,0.06980491064318084,0.010046800625996768
152,1140,0.0022531356571259794,0.3543925708663965,0.05505821925655491,0.007501989365308191
153,1150,0.0023104351470025074,0.36340512786111295,0.05863838415382978,0.008153624741263951
154,1150,0.0021477533372342415,0.33781713247582207,0.05913456691097625,0.007936593385028784
