point_type,band_number,wavelength_nm,mean_18,mean_25,mean_diff,sd_diff,n_pairs,pooled_sd,t_stat,cohens_d,ci95_lo,ci95_hi
vegetated,79,774,0.06165260771751296,0.06500308542910842,0.0033504777115954507,0.009119327546294059,1058,0.012766275329164247,11.9505186002591,0.2624475522583604,0.0028009671393442424,0.003899988283846659
vegetated,80,779,0.06210880871763272,0.06555164092000645,0.0034428322023736537,0.00913282836538243,1058,0.012806896357831679,12.261776458716877,0.26882642805712187,0.002892508100529891,0.003993156304217416
vegetated,81,785,0.06249777290154695,0.06605970929288323,0.0035619363913363057,0.009129341780797459,1058,0.012829575059043984,12.6908154059115,0.2776347910935196,0.003011822383392643,0.004112050399279968
vegetated,82,790,0.06285357920127513,0.06651373459821457,0.0036601553969394644,0.009124216106641119,1058,0.012841588606131297,13.048085541998299,0.2850235675040937,0.003110350250819716,0.004209960543059213
vegetated,83,795,0.06323081262510558,0.06699332836620454,0.003762515741098949,0.009118079816578722,1058,0.012857701930981036,13.422016545707473,0.292627388727456,0.0032130803542894755,0.004311951127908422
vegetated,84,800,0.06357599848085399,0.06742931645299492,0.0038533179721410224,0.009113685552278216,1058,0.012872017959207173,13.752562957851742,0.29935616811230426,0.003304147374010115,0.00440248857027193
vegetated,85,805,0.06393903215114687,0.06788981765004679,0.003950785498899831,0.009109446675697033,1058,0.012887449215480963,14.106987676647458,0.30656070358391607,0.0034018703261261118,0.004499700671673551
vegetated,86,810,0.0642499493932553,0.06828134377641269,0.004031394383157343,0.009096953670423655,1058,0.01288456407242054,14.414584796760577,0.31288558623310814,0.0034832320113376484,0.004579556754977039
vegetated,87,815,0.06452580805003501,0.06862480645493775,0.004098998404902852,0.009056833529787594,1058,0.012858039284546218,14.72123338667468,0.3187887604161658,0.0035532535843036616,0.004644743225502043
vegetated,88,820,0.06489572429787488,0.06908407751180368,0.004188353213928729,0.009055679392294399,1058,0.012873290846614713,15.044061327557971,0.3253521779188372,0.003642677939110312,0.004734028488747145
vegetated,89,825,0.06523529849868988,0.06950921146124615,0.004273912962556249,0.009031135728990855,1058,0.012867640669898163,15.3931016785489,0.33214425800328734,0.003729716634776263,0.004818109290336234
vegetated,90,830,0.06552732922512973,0.06988752446301057,0.0043601952378808095,0.00898923135497059,1058,0.012839656173487807,15.777064903520149,0.33958816178302625,0.0038185239752913007,0.004901866500470318
vegetated,91,835,0.06584499109955058,0.07028270511049275,0.004437714010942342,0.008966413565033115,1058,0.012828760908252726,16.098424612901013,0.34591914547940217,0.003897417698067316,0.0049780103238173685
vegetated,92,840,0.06615485213054298,0.07068398910376783,0.004529136973224977,0.008953555547830085,1058,0.01283238884153301,16.453669012356492,0.35294573981159905,0.003989615456118102,0.005068658490331852
vegetated,93,845,0.06648155580767595,0.07109834405886019,0.004616788251184165,0.008951946488077307,1058,0.012845297162145969,16.775107521797732,0.35941467082516854,0.0040773636924704435,0.005156212809897886
vegetated,94,850,0.06677599779888219,0.07147146559449813,0.004695467795615883,0.008935357993010224,1058,0.012842866850146777,17.09266350594277,0.365609006961107,0.004157042823041691,0.005233892768190075
vegetated,95,855,0.06708501160481803,0.07184621187835125,0.004761200273533127,0.008925562933037192,1058,0.01284458035511137,17.350966338144193,0.37067775995020774,0.004223365529677411,0.005299035017388843
vegetated,96,860,0.06737799600882649,0.07220622295660496,0.00482822694777848,0.008913693902499817,1058,0.012842607890700804,17.618656692543475,0.3759537773690458,0.004291107405534895,0.0053653464900220655
vegetated,97,865,0.06763910450195772,0.07254534616960026,0.004906241667642655,0.008891618075610572,1058,0.012833368602885082,17.947789625706225,0.3823034948547865,0.004370452366056097,0.005442030969229213
vegetated,98,870,0.06793290740496308,0.07289749903735389,0.004964591632390862,0.00887172720556454,1058,0.012823134875266965,18.201961250189328,0.38715896547001766,0.004430000910779207,0.0054991823540025166
vegetated,99,875,0.06817789692601196,0.07319314132205411,0.005015244396042091,0.00884248740161545,1058,0.012803027177834762,18.44847556929064,0.39172332655239,0.004482415600550428,0.005548073191533754
vegetated,100,880,0.0684147597501982,0.07347133945927224,0.0050565797090741165,0.008806640125978416,1058,0.012770044350084001,18.67623980705931,0.39597197710913623,0.004525910991378646,0.005587248426769587
vegetated,101,885,0.06865222717016618,0.07373742269553166,0.005085195525365533,0.008775552420939765,1058,0.012734089423269836,18.84846663658558,0.39933719297376863,0.0045564000842355816,0.0056139909664954845
vegetated,102,890,0.06882573411488416,0.07394119355969635,0.005115459444812017,0.008722830892119799,1058,0.012679936819336497,19.075240701575307,0.40342941117901354,0.004589840886771827,0.005641078002852207
vegetated,103,895,0.06893291084317282,0.07402333761831988,0.005090426775147088,0.008636058315487893,1058,0.012577213821796034,19.17261988929602,0.40473405694395453,0.004570036941264316,0.005610816609029861
vegetated,104,900,0.06910233962475135,0.07415351199614094,0.005051172371389564,0.008565605936397802,1058,0.012495586492444984,19.18125117015045,0.40423651778518577,0.004535027842542028,0.005567316900237099
vegetated,105,905,0.06927295080746873,0.07428651541744384,0.005013564609974977,0.00852601538196611,1058,0.012451615753935063,19.12684498457748,0.4026436977378256,0.004499805720650866,0.005527323499299087
vegetated,106,910,0.06943064037931254,0.07442151637110776,0.004990875991795182,0.008456588255055913,1058,0.012367606422893758,19.196604938697476,0.4035442122864242,0.004481300628070356,0.005500451355520008
vegetated,107,915,0.06956642858651389,0.07454993841549869,0.004983509828984717,0.008395600108359373,1058,0.012285188874922878,19.30751622759008,0.40565186906953454,0.004477609476517205,0.00548941018145223
vegetated,108,920,0.06972770958125493,0.0747122232729867,0.004984513691731866,0.00834122166516744,1058,0.012208813700286366,19.437301200701516,0.4082717464691062,0.004481890064361114,0.005487137319102617
vegetated,109,925,0.06978701280981148,0.07471994038277248,0.004932927572961042,0.008249685719457932,1058,0.012071735517527415,19.449577378071815,0.40863449715235517,0.004435819699866363,0.00543003544605572
vegetated,110,930,0.06951473691068391,0.07426137792879911,0.004746641018115261,0.008053628557727004,1058,0.011799223385160058,19.170684775767803,0.4022841896599004,0.004261347117332664,0.0052319349188978586
vegetated,111,935,0.06961666852973847,0.07419976516767914,0.004583096637940642,0.00783166963480015,1058,0.011484009947359586,19.034763681496187,0.39908504598556116,0.004111177492493306,0.005055015783387978
vegetated,112,940,0.06965903139570886,0.074164651826807,0.0045056204310982674,0.0076864130272645825,1058,0.011253792772770084,19.066620340741462,0.4003646168072476,0.004042454128568892,0.004968786733627643
vegetated,113,945,0.0696137473499459,0.07401719279963169,0.00440344544968582,0.007511692539432096,1058,0.01099056388433641,19.06767104734182,0.40065691770024153,0.003950807418541088,0.004856083480830551
vegetated,114,950,0.06944561260283315,0.07369126529391687,0.004245652691083617,0.007279448021626578,1058,0.01064133872026665,18.97093993629983,0.39897730940541193,0.0038070092025445385,0.004684296179622696
vegetated,115,955,0.06926877031711269,0.07337751509020667,0.00410874477309399,0.007015409450246586,1058,0.010247121714799879,19.0501752383678,0.4009657431081106,0.0036860116667315414,0.004531477879456439
vegetated,116,960,0.06913118711968536,0.0731243039710115,0.003993116851326242,0.006761362388964932,1058,0.009869632013709615,19.209702526751286,0.4045861938701991,0.0035856920607705164,0.004400541641881967
vegetated,117,965,0.06918612067786689,0.07317366178322876,0.003987541105361977,0.0066117011481785955,1058,0.009656306460199363,19.617099361086854,0.4129468261801263,0.0035891345712128595,0.004385947639511094
vegetated,118,970,0.069278137809405,0.07327804774548535,0.003999909936080453,0.00651568119764888,1058,0.009519510678106084,19.967938008399212,0.4201802037241098,0.0036072893524518386,0.004392530519709067
vegetated,119,975,0.06943591282558653,0.07345038191797347,0.004014469092386947,0.006434661024748654,1058,0.009425544326444303,20.29295438096039,0.4259137672424874,0.003626730605749397,0.004402207579024497
