x_utm,y_utm,domain,snow_free_doy,canopy_height_m,predicted_label,nearest_class,nearest_d,second_class,second_d,margin,ood_flag
345904.5,4285695.5,ALMO,104.30452728271484,0,S22,S22,16.942163289764423,S25,17.57657363226901,0.6344103425045873,TRUE
347919.5,4285215.5,ALMO,104.49952697753906,0,S24.a,S24.b,19.08892163977661,S24.a,19.307780998103883,0.218859358327272,TRUE
339022.5,4283848.5,ALMO,90.0941162109375,0,S24.a,S24.b,18.181043746016066,S24.a,18.19965387204011,0.01861012602404344,TRUE
342067.5,4287164.5,ALMO,108.60034942626952,0,S18,S18,13.210647757245425,S02,13.34283060039309,0.13218284314766393,TRUE
344382.5,4283737.5,ALMO,117.74581146240234,0,S02,S02,16.808426290292566,S18,17.085812325475974,0.2773860351834081,TRUE
338682.5,4291683.5,ALMO,97.0348129272461,0,S18,S24.b,18.335929349977526,S24.a,18.69175063983711,0.35582128985958406,TRUE
342778.5,4284008.5,ALMO,95.73326110839844,0,S24.a,S24.b,17.068360399329162,S24.a,17.429288925458525,0.36092852612936355,TRUE
341556.5,4290056.5,ALMO,92.62220001220705,0,S18,S24.b,16.20604718671847,S24.a,16.69220881030918,0.48616162359070714,TRUE
345883.5,4287737.5,ALMO,86.44111633300781,0,S22,S22,17.937350284571455,S18,18.77255484021941,0.8352045556479553,TRUE
340109.5,4284236.5,ALMO,98.37736511230467,0,S18,S24.b,16.636773054815666,S24.a,16.797291662686508,0.16051860787084138,TRUE
340514.5,4286677.5,ALMO,106.36190795898438,0,S24.a,S24.b,17.454542373625316,S24.a,17.71907285899721,0.26453048537189616,TRUE
340799.5,4287662.5,ALMO,96.34032440185548,0,S24.b,S24.b,16.841595483931666,S24.a,17.15072777064404,0.3091322867123729,TRUE
340193.5,4290929.5,ALMO,101.81546020507812,0,S05.a,S05.b,11.454880104109114,S19,11.528104615884363,0.07322451177524947,TRUE
343187.5,4286668.5,ALMO,101.4337921142578,0,S22,S24.b,19.049803431833308,S24.a,19.375377095462238,0.3255736636289299,TRUE
347982.5,4282587.5,ALMO,91.41719818115234,0,S24.a,S24.b,18.144038076120967,S24.a,18.284862796569637,0.1408247204486699,TRUE
339898.5,4293509.5,ALMO,101.72045135498048,0,S18,S24.b,15.920916227446176,S24.a,16.54609799556294,0.6251817681167626,TRUE
348394.5,4278746.5,ALMO,114.24280548095705,0,S05.b,S05.b,13.721389731031879,S05.a,14.491755290109804,0.7703655590779253,TRUE
344652.5,4285359.5,ALMO,101.04216766357422,0,S24.b,S24.b,16.608152334974218,S24.a,16.829020008886637,0.22086767391241935,TRUE
340403.5,4280461.5,ALMO,110.30252075195312,0,S18,S24.b,17.382341788188256,S24.a,17.61004325009965,0.22770146191139418,TRUE
347922.5,4295791.5,ALMO,115.53379821777344,0.0689999982714653,S25,S22,20.276915812263287,S25,20.935139261248253,0.6582234489849661,TRUE
345946.5,4282275.5,ALMO,123.970458984375,0,S05.b,S05.b,14.855351097540252,S22,15.424234528335926,0.5688834307956743,TRUE
340409.5,4287581.5,ALMO,101.59903717041016,0,S24.b,S24.b,17.982904845394444,S24.a,18.509726388452574,0.52682154305813,TRUE
340586.5,4284071.5,ALMO,100.03398895263672,0,S25,S25,17.659128921067488,S24.a,17.947571509893105,0.28844258882561746,TRUE
348433.5,4279347.5,ALMO,111.10112762451172,0,S01,S02,14.914306788605646,S04,15.022277554037505,0.10797076543185824,TRUE
342763.5,4284188.5,ALMO,105.39138793945312,0,S25,S24.b,14.755920171435196,S24.a,15.015148644872129,0.25922847343693256,TRUE
342580.5,4287650.5,ALMO,106.08729553222656,0,S25,S18,13.161912158084496,S05.b,13.240169158416236,0.07825700033174066,TRUE
349679.5,4288875.5,ALMO,110.4365692138672,0,S18,S18,14.428277250052306,S24.b,14.833832632820148,0.405555382767842,TRUE
338913.5,4281356.5,ALMO,109.32498931884766,0.47999998927116394,S22,S24.b,20.986806565744104,S24.a,21.2595232568217,0.2727166910775978,TRUE
342829.5,4287731.5,ALMO,91.20231628417967,0,S18,S24.b,17.49965225704368,S24.a,17.77884144261231,0.2791891855686295,TRUE
338940.5,4286389.5,ALMO,100.72671508789062,0,S11,S16,89.0874048111389,S11,93.13324315121127,4.045838340072379,TRUE
347460.5,4285053.5,ALMO,103.62467193603516,0,S18,S18,15.16861875499329,S24.b,15.771546498229663,0.6029277432363731,TRUE
339082.5,4292512.5,ALMO,91.2525863647461,0,S01,S25,13.849651663054411,S01,13.955000501236054,0.10534883818164253,TRUE
340694.5,4281191.5,ALMO,95.41963958740234,0,S05.b,S05.b,14.41354774679377,S05.a,14.916363786273683,0.5028160394799137,TRUE
347769.5,4286518.5,ALMO,124.21417236328124,0,S18,S18,15.29193251489109,S02,15.577846728638882,0.285914213747791,TRUE
341133.5,4290431.5,ALMO,102.66564178466795,0,S18,S24.b,15.321123577210734,S24.a,15.532905102512764,0.21178152530202965,TRUE
