band_number,wavelength_nm,delta,sd_diff,n_pairs
281,1790,0.0029642379666743922,0.0100224080027077,1057
282,1790,0.0023246772295250806,0.009667914167220279,1057
283,1800,0.002659881707504301,0.009799614561679253,1057
284,1800,-5.122405817426244e-4,0.008422309960305838,1057
285,1810,-5.122405817426244e-4,0.008422309960305838,1057
286,1810,-5.122405817426244e-4,0.008422309960305838,1057
287,1820,-5.122405817426244e-4,0.008422309960305838,1057
288,1820,-5.122405817426244e-4,0.008422309960305838,1057
289,1830,-5.122405817426244e-4,0.008422309960305838,1057
290,1830,-5.122405817426244e-4,0.008422309960305838,1057
291,1840,-5.122405817426244e-4,0.008422309960305838,1057
292,1840,-5.122405817426244e-4,0.008422309960305838,1057
293,1850,-5.122405817426244e-4,0.008422309960305838,1057
294,1850,-5.122405817426244e-4,0.008422309960305838,1057
295,1860,-5.122405817426244e-4,0.008422309960305838,1057
296,1860,-5.122405817426244e-4,0.008422309960305838,1057
297,1870,-5.122405817426244e-4,0.008422309960305838,1057
298,1870,-5.122405817426244e-4,0.008422309960305838,1057
299,1880,-5.122405817426244e-4,0.008422309960305838,1057
300,1880,-5.122405817426244e-4,0.008422309960305838,1057
301,1890,-5.122405817426244e-4,0.008422309960305838,1057
302,1890,-5.122405817426244e-4,0.008422309960305838,1057
303,1900,-5.122405817426244e-4,0.008422309960305838,1057
304,1900,-5.122405817426244e-4,0.008422309960305838,1057
305,1910,-5.122405817426244e-4,0.008422309960305838,1057
306,1910,-5.122405817426244e-4,0.008422309960305838,1057
307,1920,-5.122405817426244e-4,0.008422309960305838,1057
308,1920,-5.122405817426244e-4,0.008422309960305838,1057
309,1930,-5.122405817426244e-4,0.008422309960305838,1057
310,1930,-5.122405817426244e-4,0.008422309960305838,1057
311,1940,-5.122405817426244e-4,0.008422309960305838,1057
312,1940,-5.122405817426244e-4,0.008422309960305838,1057
313,1950,-5.122405817426244e-4,0.008422309960305838,1057
314,1950,-5.122405817426244e-4,0.008422309960305838,1057
315,1960,-5.122405817426244e-4,0.008422309960305838,1057
316,1960,-5.122405817426244e-4,0.008422309960305838,1057
317,1970,-5.122405817426244e-4,0.008422309960305838,1057
318,1970,0.0038105075862377115,0.011107712249854691,1057
319,1980,0.003846178902950919,0.011184999023372581,1057
320,1980,0.0038754151778475103,0.011168934128929837,1057
321,1990,0.003878301943159706,0.01133474042930173,1057
322,1990,0.004042703832127252,0.011323250842819347,1057
323,2000,0.004077506666326262,0.011401988317993068,1057
324,2000,0.0040067246554249996,0.011454837076884534,1057
325,2009.9999999999998,0.003931468232481518,0.011371994168177359,1057
326,2009.9999999999998,0.004007379401847735,0.011421888730607361,1057
327,2020,0.004016399918764109,0.011354767767942276,1057
328,2020,0.004063568531100342,0.011373197385103853,1057
329,2029.9999999999998,0.004178629858021001,0.011425161771780101,1057
330,2029.9999999999998,0.004268908165424206,0.011440866175247552,1057
331,2040,0.0043020695937290975,0.011482442963548707,1057
332,2040,0.00429275561104639,0.011475348559344935,1057
333,2050,0.004356735668707139,0.011507782824031608,1057
334,2050,0.004312710339969563,0.011466498290551186,1057
335,2060,0.00429650233740918,0.011409721521811121,1057
336,2060,0.00442303571601112,0.01146175307118509,1057
337,2070,0.00436223936443925,0.011415464570726829,1057
338,2070,0.003997483137892271,0.011402420409587123,1057
339,2080,0.003938010175507827,0.011301149967266432,1057
340,2080,0.004050385784810459,0.011262375708321752,1057
341,2090,0.004016208709296294,0.011265158764445213,1057
342,2090,0.004160606858031604,0.011158948211211883,1057
343,2100,0.004183781903593319,0.01110917532369933,1057
344,2100,0.0038968910897381587,0.011066951917817416,1057
345,2110,0.004834002942033709,0.01093160030557318,1057
346,2110,0.004586280876712928,0.010938585922700389,1057
347,2120,0.0048030941894608575,0.010911472539537937,1057
348,2120,0.004329949994539405,0.010933199897358109,1057
349,2130,0.003936481455520793,0.01096948210291819,1057
350,2130,0.003938893458140106,0.010927391830640282,1057
351,2140,0.004181202870691134,0.010870846194698094,1057
352,2140,0.0041527145796282985,0.010835649259843818,1057
353,2150,0.004410003471574943,0.010701146104283828,1057
354,2150,0.00383077017761839,0.010786815356461296,1057
355,2160,0.0036749044742193445,0.010669776291108286,1057
356,2160,0.004089801423555667,0.010493149948964725,1057
357,2170,0.0031022563909513627,0.01050545435872501,1057
358,2170,0.003219891384446638,0.010357801417439253,1057
